TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,UserCityName,UserCityCountryId,AttractionCityName,AttractionCityCountryId,ContinentName,RegionName,RegionContinentId,CountryName,CountryRegionId,AttractionType,Season,UserAvgRating,UserVisitCount,AttractionAvgRating,AttractionVisitCount,VisitModePopularity,AttractionTypePopularity
5959,17069,2018,10,4,640,3,3,14,101,3013.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Indonesia,14,Nature & Wildlife Areas,Fall,4.0,5,4.267085922109411,13198,10945,13251
5960,1792,2018,12,5,640,4,4,15,109,535.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Winter,4.0,1,4.267085922109411,13198,4525,13251
5962,65159,2018,12,2,640,3,5,21,163,337.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Winter,3.3333333333333335,3,4.267085922109411,13198,21620,13251
5963,23445,2018,4,3,640,5,3,11,69,2295.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,China,11,Nature & Wildlife Areas,Spring,5.0,1,4.267085922109411,13198,15217,13251
5964,32220,2018,12,3,640,5,4,16,115,5593.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,New Zealand,16,Nature & Wildlife Areas,Winter,5.0,1,4.267085922109411,13198,15217,13251
5968,50714,2018,8,3,640,3,4,16,115,5487.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,New Zealand,16,Nature & Wildlife Areas,Summer,3.0,1,4.267085922109411,13198,15217,13251
5969,17991,2018,12,2,640,4,2,8,48,554.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,Canada,8,Nature & Wildlife Areas,Winter,4.0,2,4.267085922109411,13198,21620,13251
5970,55486,2018,12,2,640,4,5,21,163,8321.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Winter,4.0,6,4.267085922109411,13198,21620,13251
5973,30702,2018,12,2,640,4,5,21,163,1722.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Winter,4.5,2,4.267085922109411,13198,21620,13251
5975,18197,2018,9,2,640,5,5,21,163,8953.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
5976,40786,2018,11,3,640,5,3,13,93,2730.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,India,13,Nature & Wildlife Areas,Fall,5.0,2,4.267085922109411,13198,15217,13251
5977,74347,2018,12,2,640,3,3,13,93,2787.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,India,13,Nature & Wildlife Areas,Winter,3.0,1,4.267085922109411,13198,21620,13251
5978,25646,2018,12,2,640,4,3,14,101,3260.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Asia,,,Indonesia,14,Nature & Wildlife Areas,Winter,4.0,1,4.267085922109411,13198,21620,13251
5980,38493,2018,12,2,640,4,4,15,109,4551.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Australia & Oceania,,,Australia,15,Nature & Wildlife Areas,Winter,4.0,1,4.267085922109411,13198,21620,13251
5981,79525,2018,12,4,640,5,5,20,157,7182.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Spain,20,Nature & Wildlife Areas,Winter,4.5,2,4.267085922109411,13198,10945,13251
